Motu,Date,Exposure,Side.x,GPS,Sample.Bag,Fish_ID,Size,total_time_seconds_numeric,distance_start_end,total_bites_per_minute,mean_bites_per_minute,mean_bites_per_foray,number_forays,forays_per_minute,sum_distance_between_forays,mean_distance_between_forays,sum_distance_between_forays_per_minute,Analysis.name,SIF.name,Sample.name,N15,C13,N_percent,C_percent,Sample_Type,Sample.name.1,Purpose,Side.y,Sample_Bag_Number,Motu_exposure,gps_name,longitude,latitude,time,cmt
Aie,6/10/22,Protected,South,225,2,AIE_01,17,130,1,60.46153846,15.11538462,32.75,4,1.846153846,5,1.666666667,2.307692308,230218 Plate 13 G11.raw,TF281,AIE A TRI 02 100622,1.48,-5.17,4.45,42.54,Turf,AIE A TRI 02 100622,A_tri_behaviour,South,2,Aie_Protected,225,-149.535325,-17.009578,2022/06/10 23:22:43+00,2022-06-10T23:22
Aie,6/10/22,Protected,South,226,3,AIE_02,15,155,NA,33.29032258,4.161290323,10.75,8,3.096774194,7,1,2.709677419,230218 Plate 13 G3.raw,TF282,AIE A TRI 03 100622,2.87,-7.71,4.63,43.12,Turf,AIE A TRI 03 100622,A_tri_behaviour,South,3,Aie_Protected,226,-149.535214,-17.009612,2022/06/10 23:29:44+00,2022-06-10T23:29
Aie,6/10/22,Protected,South,227,5,AIE_03,14,102,1,16.47058824,8.235294118,14,2,1.176470588,1,1,0.588235294,230219 Plate 14 F2.raw,TF292,AIE A TRI 05 100622,2.12,-5.94,4.03,42.27,Turf,AIE A TRI 05 100622,A_tri_behaviour,South,5,Aie_Protected,227,-149.535168,-17.009774,2022/06/10 23:39:08+00,2022-06-10T23:39
Aie,6/10/22,Protected,South,228,6,AIE_04,15,120,1,37,6.166666667,12.33333333,6,3,5,1,2.5,230219 Plate 14 G7.raw,TF284,AIE A TRI 06 100622,1.32,-5.1,4.4,41.52,Turf,AIE A TRI 06 100622,A_tri_behaviour,South,6,Aie_Protected,228,-149.535099,-17.00982,2022/06/10 23:45:52+00,2022-06-10T23:45
Aie,6/10/22,Protected,South,229,12,AIE_05,17,71,NA,40.56338028,8.112676056,9.6,5,4.225352113,4,1,3.38028169,230219 Plate 14 C12.raw,TF294,AIE A TRI 12 100622,1.75,-5,4.22,41.91,Turf,AIE A TRI 12 100622,A_tri_behaviour,South,12,Aie_Protected,229,-149.535025,-17.009844,2022/06/10 23:50:33+00,2022-06-10T23:50
Aie,6/10/22,Protected,South,230,15,AIE_06,17,150,2,63.2,10.53333333,26.33333333,6,2.4,3,0.6,1.2,230218 Plate 13 G2.raw,TF283,AIE A TRI 15 100622,2.26,-6.82,4,41.92,Turf,AIE A TRI 15 100622,A_tri_behaviour,South,15,Aie_Protected,230,-149.53489,-17.00985,2022/06/11 00:00:33+00,2022-06-11T00:00
Aie,6/10/22,Protected,South,231,19,AIE_07,16,94,3,51.06382979,12.76595745,20,4,2.553191489,4,1.333333333,2.553191489,230219 Plate 14 G4.raw,TF287,AIE A TRI 19 100622,3,-6.29,3.8,42.43,Turf,AIE A TRI 19 100622,A_tri_behaviour,South,19,Aie_Protected,231,-149.534766,-17.009936,2022/06/11 00:07:15+00,2022-06-11T00:07
Aie,6/10/22,Protected,South,232,20,AIE_08,17,196,0,78.97959184,7.897959184,25.8,10,3.06122449,7,0.777777778,2.142857143,230219 Plate 14 G9.raw,TF285,AIE A TRI 20 100622,1.34,-4.73,4.35,40.8,Turf,AIE A TRI 20 100622,A_tri_behaviour,South,20,Aie_Protected,232,-149.534902,-17.010167,2022/06/11 00:16:32+00,2022-06-11T00:16
Aie,6/10/22,Protected,South,233,21,AIE_09,14,120,2,69,8.625,17.25,8,4,5.5,0.785714286,2.75,230219 Plate 14 F3.raw,TF290,AIE A TRI 21 100622,1.79,-5.87,4.6,42.53,Turf,AIE A TRI 21 100622,A_tri_behaviour,South,21,Aie_Protected,233,-149.534958,-17.010205,2022/06/11 00:31:32+00,2022-06-11T00:31
Aie,6/10/22,Protected,South,234,23,AIE_10,17,143,1,53.70629371,7.672327672,18.28571429,7,2.937062937,6,1,2.517482517,230219 Plate 14 E11.raw,TF291,AIE A TRI 23 100622,2.17,-9.66,5.36,44.2,Turf,AIE A TRI 23 100622,A_tri_behaviour,South,23,Aie_Protected,234,-149.534926,-17.010284,2022/06/11 00:39:43+00,2022-06-11T00:39
Aie,6/10/22,Protected,South,235,27,AIE_11,13,185,2,21.40540541,2.140540541,6.6,10,3.243243243,4.6,0.511111111,1.491891892,230223 Plate 15 C5.raw,TF293,AIE A TRI 27 100622,2.57,-6.93,4.45,41.92,Turf,,A_tri_behaviour,South,27,Aie_Protected,235,-149.53515,-17.010081,2022/06/11 00:51:05+00,2022-06-11T00:51
Aie,6/10/22,Protected,South,236,26,AIE_12,13,90,0,31.33333333,6.266666667,9.4,5,3.333333333,0,0,0,230218 Plate 13 G8.raw,TF295,AIE A TRI 26 100622,2.07,-6.27,4.76,42.5,Turf,AIE A TRI 26 100622,A_tri_behaviour,South,26,Aie_Protected,236,-149.535146,-17.009871,2022/06/11 00:59:02+00,2022-06-11T00:59
Aie,6/10/22,Protected,South,237,28,AIE_13,14,56,0.9,58.92857143,19.64285714,18.33333333,3,3.214285714,0.9,0.45,0.964285714,230219 Plate 14 E5.raw,TF288,AIE A TRI 28 100622,3.98,-14.27,6.67,44.79,Turf,AIE A TRI 28 100622,A_tri_behaviour,South,28,Aie_Protected,237,-149.535281,-17.00981,2022/06/11 01:06:51+00,2022-06-11T01:06
Aie,6/10/22,Protected,South,238,29,AIE_15,16,156,0,36.15384615,3.615384615,9.4,10,3.846153846,3,0.333333333,1.153846154,230219 Plate 14 G6.raw,TF286,AIE A TRI 29 100622,1.48,-5.48,3.77,42.24,Turf,AIE A TRI 29 100622,A_tri_behaviour,South,29,Aie_Protected,238,-149.535437,-17.009548,2022/06/11 01:24:21+00,2022-06-11T01:24
Aie,6/10/22,Protected,South,239,33,AIE_16,17,67,1,24.17910448,4.835820896,5.4,5,4.47761194,1.5,0.375,1.343283582,230219 Plate 14 G8.raw,TF289,AIE A TRI 33 100622,2.56,-5.95,4.31,42.38,Turf,AIE A TRI 33 100622,A_tri_behaviour,South,33,Aie_Protected,239,-149.535458,-17.009487,2022/06/11 01:32:51+00,2022-06-11T01:32
Aie,6/10/22,Protected,South,n/a,n/a,AIE_14,17,27,1,71.11111111,35.55555556,16,2,4.444444444,1,1,2.222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aie,6/15/22,Exposed,North,277,21,AIE_17,13,180,8,45,5,15,9,3,11.05,1.38125,3.683333333,230217 Plate 12 C7.raw,TF74,AIE-N A TRI 21 150622,1.59,-6.13,4.99,42.9,Turf,AIE-N A TRI 21 150622,A_tri_behaviour,North,21,Aie_Exposed,277,-149.536067,-17.007387,2022/06/15 22:59:27+00,2022-06-15T22:59
