,X,site,Fish_ID,Size,total_time_seconds_numeric,total_bites_per_minute,mean_bites_per_minute,mean_bites_per_foray,number_forays,forays_per_minute,sum_distance_between_forays,mean_distance_between_forays,sum_distance_between_forays_per_minute,Distance_end_start_m_formatted,N15,distance_to_shore_m,time_hms,time_hours,Group_Status,Group_2levels,Chases_during_observation,Binary_chases,Surgeonfish_binary_chases,Stegastes_binary_chases,mean_seabird_biomass_200m,mean_seabird_n_input,wave_energy_manual,mean_predator_biomass,mean_atri_biomass,mean_damsel_biomass,mean_turf_obs_adjusted,mean_structure,fish_n15,fish_n15_n,fish_n15_sd,hsi,hsi_n,hsi_sd,growth_resid,growth_resid_n,growth_resid_sd
1,1,Aie_south,AIE_01,17,130,60.46153846,15.11538462,32.75,4,1.846153846,5,1.666666667,2.307692308,1,1.48,60.15957696,13:18:00,13.3,always_alone,Alone,Acanthurus_triostegus,Yes,yes,no,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,8.38,5,0.487801189,1.283303114,5,1.040020503,0.01097289,5,0.030575646
2,2,Aie_south,AIE_02,15,155,33.29032258,4.161290323,10.75,8,3.096774194,7,1,2.709677419,1,2.87,64.58376195,13:25:00,13.41666667,always_alone,Alone,Stegastes,Yes,no,yes,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,8.38,5,0.487801189,1.283303114,5,1.040020503,0.01097289,5,0.030575646
3,3,Aie_south,AIE_03,14,102,16.47058824,8.235294118,14,2,1.176470588,1,1,0.588235294,1,2.12,83.06752755,13:35:00,13.58333333,always_alone,Alone,none,No,no,no,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,8.38,5,0.487801189,1.283303114,5,1.040020503,0.01097289,5,0.030575646
4,4,Aie_south,AIE_04,15,120,37,6.166666667,12.33333333,6,3,5,1,2.5,1,1.32,89.04436939,13:41:00,13.68333333,always_alone,Alone,none,No,no,no,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,8.38,5,0.487801189,1.283303114,5,1.040020503,0.01097289,5,0.030575646
5,5,Aie_south,AIE_05,17,71,40.56338028,8.112676056,9.6,5,4.225352113,4,1,3.38028169,1,1.75,92.43236764,13:48:00,13.8,always_group,Group,none,No,no,no,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,8.38,5,0.487801189,1.283303114,5,1.040020503,0.01097289,5,0.030575646
6,6,Aie_south,AIE_06,17,150,63.2,10.53333333,26.33333333,6,2.4,3,0.6,1.2,2,2.26,94.42503845,13:55:00,13.91666667,always_alone,Alone,none,No,no,no,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,8.38,5,0.487801189,1.283303114,5,1.040020503,0.01097289,5,0.030575646
7,7,Aie_south,AIE_07,16,94,51.06382979,12.76595745,20,4,2.553191489,4,1.333333333,2.553191489,3,3,104.6196203,14:04:00,14.06666667,always_alone,Alone,none,No,no,no,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,8.38,5,0.487801189,1.283303114,5,1.040020503,0.01097289,5,0.030575646
8,8,Aie_south,AIE_08,17,196,78.97959184,7.897959184,25.8,10,3.06122449,7,0.777777778,2.142857143,0,1.34,129.4443695,14:11:00,14.18333333,always_alone,Alone,none,No,no,no,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,8.38,5,0.487801189,1.283303114,5,1.040020503,0.01097289,5,0.030575646
9,9,Aie_south,AIE_09,14,120,69,8.625,17.25,8,4,5.5,0.785714286,2.75,2,1.79,133.1057334,14:25:00,14.41666667,NA,NA,none,No,no,no,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,8.38,5,0.487801189,1.283303114,5,1.040020503,0.01097289,5,0.030575646
10,10,Aie_south,AIE_10,17,143,53.70629371,7.672327672,18.28571429,7,2.937062937,6,1,2.517482517,1,2.17,142.1770233,14:35:00,14.58333333,NA,NA,none,No,no,no,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,8.38,5,0.487801189,1.283303114,5,1.040020503,0.01097289,5,0.030575646
