,site,Fish_id,Capture_year,Capture_month,TL_cm,Weight_g,Liver_weight_g,Gonad_weight_g,Sex,Stage_coarse,Stage_fine,Muscle_N15,Age,HSI,GSI,K,Growth_residuals,mean_seabird_biomass_200m,mean_seabird_n_input,wave_energy_manual,mean_predator_biomass,mean_atri_biomass,mean_damsel_biomass,mean_turf_obs_adjusted,mean_structure,bites_per_minute,bites_per_minute_n,bites_per_minute_sd,distance_per_minute,distance_per_minute_n,distance_per_minute_sd,turf_n15,turf_n15_n,turf_n15_sd
1,Aie_south,AIE01,2021,7,16.2,106.12,NA,4.71,female,mature,not_gravid_or_unknown,8.55,8,NA,4.438371655,2.496043775,-0.010928871,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,45.04905371,15,18.70337001,1.84018168,15,0.950123795,2.184,15,0.730418667
2,Aie_south,AIE02,2021,7,15.5,93.66,1.33,5.73,female,mature,gravid,8.8,3,1.420029895,6.117873158,2.515122017,-0.014082615,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,45.04905371,15,18.70337001,1.84018168,15,0.950123795,2.184,15,0.730418667
3,Aie_south,AIE03,2021,7,17.1,130.47,3.5,5.08,female,mature,gravid,8.38,5,2.682609029,3.893615391,2.609289888,0.049391301,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,45.04905371,15,18.70337001,1.84018168,15,0.950123795,2.184,15,0.730418667
4,Aie_south,AIE04,2021,7,15.2,81.31,0.59,3.43,female,mature,not_gravid_or_unknown,7.55,2,0.725618005,4.218423318,2.31533159,0.038902249,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,45.04905371,15,18.70337001,1.84018168,15,0.950123795,2.184,15,0.730418667
5,Aie_south,AIE21,2021,7,14.5,78.7,0.24,2.75,female,mature,not_gravid_or_unknown,8.62,2,0.304955527,3.494282084,2.581491656,-0.008417614,107.442,117.2713816,5.467382557,32.95932117,11.19520772,17.4276513,15,2,45.04905371,15,18.70337001,1.84018168,15,0.950123795,2.184,15,0.730418667
6,Aie_north,AIE32,2022,6,15.5,96.2,0.75,1.76,male,mature,not_gravid_or_unknown,8.82,5,0.77962578,1.82952183,2.583330536,-0.048361667,199.614,173.0217415,2.904596281,26.1974965,27.4681985,6.331165991,19.16666667,2.25,36.30307208,14,18.52621725,1.761840822,14,1.279467729,1.595,14,0.619363818
7,Aie_north,AIE33,2022,6,14.2,71.07,0.61,1.02,male,mature,not_gravid_or_unknown,8.71,6,0.85830871,1.435204728,2.482111475,-0.138453533,199.614,173.0217415,2.904596281,26.1974965,27.4681985,6.331165991,19.16666667,2.25,36.30307208,14,18.52621725,1.761840822,14,1.279467729,1.595,14,0.619363818
8,Aie_north,AIE34,2022,6,15.7,99.67,1.48,1.53,female,mature,gravid,7.99,9,1.484900171,1.535065717,2.575523406,-0.041261427,199.614,173.0217415,2.904596281,26.1974965,27.4681985,6.331165991,19.16666667,2.25,36.30307208,14,18.52621725,1.761840822,14,1.279467729,1.595,14,0.619363818
9,Aie_north,AIE35,2022,6,15.8,111.86,0.88,1.71,male,mature,not_gravid_or_unknown,7.91,8,0.786697658,1.528696585,2.835982549,-0.035491419,199.614,173.0217415,2.904596281,26.1974965,27.4681985,6.331165991,19.16666667,2.25,36.30307208,14,18.52621725,1.761840822,14,1.279467729,1.595,14,0.619363818
10,Aie_north,AIE36,2022,6,15.9,114,1.05,1.04,female,mature,gravid,7.6,8,0.921052632,0.912280702,2.836047356,-0.028975369,199.614,173.0217415,2.904596281,26.1974965,27.4681985,6.331165991,19.16666667,2.25,36.30307208,14,18.52621725,1.761840822,14,1.279467729,1.595,14,0.619363818
