site,motu,Latitude,Longitude,mean_seabird_biomass_200m,mean_seabird_n_input_200m_kg_ha_yr,wave_energy_manual,behavior,demographics
Aie_south,Aie,-17.009943,-149.535034,107.442,117.2713816,5.467382557,y,y
Aie_north,Aie,-17.007122,-149.535911,199.614,173.0217415,2.904596281,y,y
Hir_Aur_hoa,Hir_Aur,-16.987944,-149.561237,475.5833334,388.8613251,2.120539423,y,y
Hiranae_lagoon,Hiranae,-16.989584,-149.558909,225.875,184.6869847,17.90992883,y,y
Oroatera_lagoon,Oroatera,-16.991003,-149.54927,104.4642857,85.41535778,8.585554685,n,y
Oroatera_south_out,Oroatera,-16.999007,-149.538514,1.95,1.594420012,6.424655573,n,y
Reiono_west,Reiono,-17.046701,-149.54799,211.14,174.1440771,1.750700377,y,n
Reiono_east,Reiono,-17.045155,-149.543655,96.252,79.3843707,5.632630891,y,y
Rimatuu_west,Rimatuu,-17.028978,-149.561203,3.15,4.726280787,2.451491321,y,y
Rimatuu_east,Rimatuu,-17.033396,-149.555748,3.294,5.351348697,20.48658792,y,n
Tau_Aur_hoa,Tau_Aur,-16.986991,-149.56415,518.353,423.6519324,1.564332162,n,y
Tiaraunu_south_out,Tiaraunu,-17.004248,-149.583568,0,0,48.50742612,n,y
